target_queue_length,conflicting_volume,time_since_last_phase,num_conflicting_lanes,downstream_lane_length,clearance_distance,label
0.0,1.0,39.39965057646919,8.0,32.82,28.0,1
0.0,0.0,7.900487280498719,2.0,44.41,7.0,1
0.0,0.0,50.49722400303133,2.0,48.97,7.0,1
0.0,0.0,36.853598815175616,8.0,19.56,28.0,1
0.0,0.0,18.67992811286581,29.0,20.94,101.5,1
1.0,1.0,12.118328460065317,14.0,26.29,49.0,1
0.0,1.0,21.030726630540276,8.0,32.82,28.0,0
0.0,0.0,51.26512058161146,2.0,109.21,7.0,0
0.0,0.0,12.891287035993155,2.0,106.73,7.0,1
0.0,0.0,39.523955755502165,2.0,673.23,7.0,1
0.0,0.0,12.568760969767391,2.0,50.78,7.0,1
0.0,0.0,53.22797110316773,3.0,74.74,10.5,0
0.0,0.0,41.07019317111586,2.0,673.23,7.0,0
0.0,0.0,7.657152694821343,2.0,64.5,7.0,1
0.0,4.0,47.81986208469396,28.0,1.38,98.0,1
0.0,0.0,31.310100471998243,2.0,41.79,7.0,0
0.0,0.0,31.66971719742928,2.0,89.81,7.0,0
0.0,0.0,52.86818639469381,2.0,105.49,7.0,0
0.0,0.0,25.055708345516525,2.0,67.15,7.0,0
0.0,0.0,27.03567097238232,2.0,62.72,7.0,0
0.0,0.0,33.54915027440332,5.0,157.82,17.5,0
0.0,0.0,12.436195244766267,2.0,76.53,7.0,0
0.0,0.0,44.55200335641757,6.0,30.67,21.0,1
0.0,0.0,47.527948603435256,7.0,15.57,24.5,1
2.0,0.0,40.56123730509023,10.0,60.36,35.0,0
1.0,0.0,40.141492671526954,3.0,62.82,10.5,0
0.0,0.0,33.52435749236115,2.0,53.92,7.0,0
1.0,4.0,42.060995452502375,38.0,9.43,133.0,1
1.0,0.0,14.333524415881806,8.0,24.85,28.0,1
0.0,0.0,39.14734710738162,2.0,85.26,7.0,0
0.0,0.0,16.820659793309414,5.0,9.95,17.5,1
0.0,1.0,36.23969716424793,5.0,9.95,17.5,1
0.0,2.0,10.852273358470262,7.0,186.65,24.5,0
0.0,0.0,44.428221807778165,6.0,22.96,21.0,1
0.0,0.0,15.149418897318327,2.0,88.43,7.0,0
1.0,0.0,9.502490580309846,5.0,55.59,17.5,0
0.0,0.0,47.973126951913414,7.0,37.1,24.5,0
0.0,3.0,37.33663974455904,7.0,37.1,24.5,0
0.0,0.0,11.163983763992057,2.0,38.0,7.0,1
6.0,3.0,35.03347356300884,23.0,25.66,80.5,1
0.0,7.0,6.649670097314743,34.0,23.21,119.0,1
0.0,0.0,12.854405189588974,2.0,48.97,7.0,0
0.0,1.0,57.843824516528706,2.0,48.97,7.0,0
0.0,0.0,21.31150491575186,2.0,164.48,7.0,0
0.0,0.0,14.976073572323646,19.0,32.39,66.5,1
1.0,0.0,30.16376428736447,2.0,144.39,7.0,0
0.0,0.0,2.493805849272606,2.0,65.93,7.0,0
0.0,0.0,25.288814693916777,3.0,55.57,10.5,0
0.0,0.0,14.204633068098515,3.0,82.6,10.5,0
0.0,0.0,24.381383984538143,2.0,76.43,7.0,0
0.0,0.0,31.109878571316465,3.0,135.26,10.5,0
0.0,0.0,22.3578344526343,2.0,66.67,7.0,0
0.0,0.0,59.58994040068648,2.0,74.58,7.0,0
0.0,1.0,24.57885035273334,2.0,189.61,7.0,0
0.0,0.0,35.44744843768762,2.0,84.49,7.0,0
0.0,0.0,33.45303876085583,5.0,6.57,17.5,1
0.0,0.0,50.99566273105541,2.0,60.22,7.0,0
0.0,1.0,16.29213844177606,7.0,324.03,24.5,0
0.0,0.0,26.9083140941227,5.0,6.57,17.5,1
0.0,0.0,10.551903470044616,6.0,197.05,21.0,0
0.0,1.0,36.67248100375599,2.0,44.43,7.0,1
0.0,1.0,48.42141120862176,5.0,258.12,17.5,1
6.0,5.0,38.61503415229013,45.0,9.87,157.5,1
0.0,0.0,34.660172311396686,7.0,20.88,24.5,1
0.0,0.0,12.16017631096317,6.0,30.67,21.0,1
0.0,1.0,53.955811625327314,5.0,325.16,17.5,1
0.0,0.0,37.5512707992812,2.0,76.54,7.0,0
0.0,0.0,3.9912914010451948,2.0,95.22,7.0,0
0.0,1.0,28.82834700431971,5.0,258.12,17.5,0
0.0,2.0,35.45247792431163,3.0,56.7,10.5,0
0.0,0.0,25.991275315559953,12.0,10.0,42.0,1
0.0,23.0,11.756929263945674,34.0,23.21,119.0,1
0.0,0.0,24.03921375609785,7.0,50.29,24.5,1
0.0,0.0,59.75747578011938,8.0,24.82,28.0,1
0.0,0.0,14.31076513818794,7.0,186.65,24.5,1
1.0,0.0,21.240258201183952,3.0,63.57,10.5,1
0.0,0.0,48.1992366993733,2.0,73.58,7.0,0
0.0,0.0,29.526917484161356,7.0,186.65,24.5,0
0.0,0.0,24.010433083775272,5.0,102.36,17.5,0
0.0,0.0,51.08741682721293,2.0,97.22,7.0,0
0.0,2.0,24.40157595762786,6.0,166.32,21.0,0
0.0,3.0,51.46835115532006,2.0,49.54,7.0,0
0.0,1.0,45.30134061606074,2.0,38.0,7.0,0
0.0,0.0,7.97872076651236,2.0,74.83,7.0,0
0.0,0.0,14.452575684737848,2.0,106.42,7.0,0
0.0,0.0,58.127827970488475,3.0,133.98,10.5,0
0.0,0.0,31.48563340559592,2.0,35.48,7.0,0
0.0,10.0,53.85611485813864,7.0,0.2,24.5,1
1.0,1.0,53.63481410574262,2.0,15.46,7.0,1
0.0,0.0,31.55629782229142,25.0,0.2,87.5,1
0.0,13.0,10.335038140913394,19.0,0.24,66.5,1
0.0,7.0,21.847193123922168,38.0,9.43,133.0,1
0.0,0.0,2.2731300072706944,3.0,55.57,10.5,1
0.0,0.0,12.327397775036774,2.0,42.4,7.0,1
0.0,0.0,12.073685712765752,9.0,19.15,31.5,1
0.0,0.0,37.717403890344734,2.0,45.85,7.0,1
